zip,scope,key,n,min_us,median_us,p95_us,max_us,visible,fast_layer,kind,image_format,pixel_area,drawn_area,rotated,color_filtered,dyn_bound,text_length,parse_ms,apply_ms,res_count,res_bytes,svg_count
# default, 450x450, 30 reps, seconds pref true
analog_gwatch,view,direction,30,-8094,411,7119,20941,true,true,image,other,0,1089,false,true,false,0,0,396,4,133354,3
analog_gwatch,view,iob2,30,-31455,291,12960,23610,true,false,text,other,0,4403,false,false,true,4,0,396,4,133354,3
analog_gwatch,view,reservoir,30,-25444,136,5845,17998,true,false,text,other,0,4403,false,false,true,4,0,396,4,133354,3
analog_gwatch,view,uploader_battery,30,-7336,128,4831,20913,true,false,text,other,0,4403,false,false,false,3,0,396,4,133354,3
analog_gwatch,view,day_name,30,-16054,17,11027,22449,true,true,text,other,0,3402,false,false,true,3,0,396,4,133354,3
analog_gwatch,view,sgv,30,-25214,8,8149,13235,true,true,text,other,0,4214,false,false,false,3,0,396,4,133354,3
analog_gwatch,view,basalRate,30,-37776,-142,1784,25876,true,false,text,other,0,4403,false,false,true,8,0,396,4,133354,3
analog_gwatch,view,tempTarget,30,-8154,-147,17051,26503,true,false,text,other,0,4403,false,false,true,3,0,396,4,133354,3
analog_gwatch,view,cob2,30,-13416,-189,3686,4997,true,false,text,other,0,4403,false,false,true,3,0,396,4,133354,3
analog_gwatch,view,avg_delta,30,-14359,-240,7169,13669,true,false,text,other,0,1782,false,false,false,2,0,396,4,133354,3
analog_gwatch,view,delta,30,-5247,-278,6869,12601,true,false,text,other,0,1782,false,false,false,2,0,396,4,133354,3
analog_gwatch,view,loop,30,-17919,-284,14018,25831,true,true,text,other,0,3136,false,false,false,2,0,396,4,133354,3
analog_gwatch,view,day,30,-17196,-380,13511,17049,true,true,text,other,0,3402,false,false,true,2,0,396,4,133354,3
# analog_v2, 450x450, 30 reps, seconds pref true
analog_v2,frame,-,630,84377,147643,423373,1332030,,,,,,,,,,0,399,4,133354,3
analog_v2,refresh,-,30,34970,36859,55019,72342,,,,,,,,,,0,399,4,133354,3
analog_v2,refresh_cold,-,10,39273,79074,165861,210205,,,,,,,,,,0,399,4,133354,3
analog_v2,sum_of_views,-,1,164579,164579,164579,164579,,,,,,,,,,0,399,4,133354,3
analog_v2,fast_layer,-,1,132788,132788,132788,132788,,,,,,,,,,0,399,4,133354,3
